Player-ID,Player,Team,Position,Minutes Played,Passes,Completed passes,Accuracy,Completed passes / 90
480,Eren Elmali,Turkiye,DF,134,59,52,88%,34.93
154,Joshua Brenet,Curacao,DF,193,63,49,78%,22.85
361,Renato Veiga,Portugal ,DF,518,336,320,95%,55.6
227,Alidu Seidu,Ghana ,DF,92,27,25,93%,24.46
486,Abdulkerim Bardakci,Turkiye,DF,300,242,222,92%,66.6
296,Jorge Sanchez,Mexico ,DF,388,131,121,92%,28.07
392,Homam Ahmed,Qatar,DF,134,33,25,76%,16.79
342,Leo Ostigard,Norway,DF,184,99,84,85%,41.09
520,Abdulla Abdullaev,Uzbekistan,DF,206,72,65,90%,28.4
496,Guillermo Varela ,Uruguay,DF,313,134,119,89%,34.22
137,Emmanuel Agbadou,Cote d'Ivorie,DF,308,154,142,92%,41.49
522,Rustam Ashurmatov,Uzbekistan,DF,288,123,101,82%,31.56
4,Ezric Konsa,England,DF,739,488,469,96%,57.12
152,Riechedly Bazoer,Curacao,DF,100,36,31,86%,27.9
212,Jules Kounde,France ,DF,666,353,314,89%,42.43
275,Shogo Taniguchi,Japan,DF,267,127,122,96%,41.12
281,Abdallah Nasib,Jordan,DF,287,97,70,72%,21.95
188,Ahmed Fatouh,Egypt,DF,301,182,163,90%,48.74
223,Antonio Ruediger,Germany,DF,300,246,230,93%,69.0
386,Omar Alderete,Paraguay,DF,363,97,70,72%,17.36
346,David Moller Wolfe,Norway,DF,477,186,162,87%,30.57
418,Nathan Patterson,Scotland,DF,204,109,94,86%,41.47
149,Marin Pongracic,Croatia ,DF,311,200,182,91%,52.67
239,Ricardo Ade,Haiti,DF,306,136,121,89%,35.59
